pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error below,certification-result,certification-time,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.3: error when ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.4: error when ,certification-err=1: error below AC-dependency pair processor 1.2: error below the dependency graph processor 1.2.1: error below,certification-err=1: error below AC-dependency pair processor 1.2: error while trying to perform Sctxt_closure-decomposition on ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.2: error when ,certification-err=1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.1: error when 
516331378,TRS_Equational/Mixed_AC/RENAMED-BOOL_nokinds-noand.xml,13152995,NaTT 1.6.1,29473,Certifiable,360199,complete,0.841271087,0.744794130325,3.8494208E7,MAYBE,-,-,-,-,-,-,-,-,-
516331379,TRS_Equational/Mixed_AC/RENAMED-BOOL_nosorts-noand.xml,13152996,AProVE21,33789,certified,551426,complete,10.934286544,3.83200883865,6.7323904E8,--,-,-,-,-,-,-,-,-,-
516331380,TRS_Equational/Mixed_AC/RENAMED-BOOL_nosorts-noand.xml,13152996,NaTT 1.6.1,29473,Certifiable,360199,complete,0.539021179,0.479866981506,3.0224384E7,MAYBE,-,-,-,-,-,-,-,-,-
516331381,TRS_Equational/Mixed_AC/boolean_rings.xml,13152997,AProVE21,33789,certified,551426,complete,5.708151368,2.42230892181,4.74386432E8,YES,-,CERTIFIED,0.11,-,-,-,-,-,-
516331382,TRS_Equational/Mixed_AC/boolean_rings.xml,13152997,NaTT 1.6.1,29473,Certifiable,360199,complete,0.123690422,0.104423046112,1.173504E7,YES,-,REJECTED,0.53,-,-,-,-,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.2: error when applying AC-reduct,-
516331383,TRS_Equational/Mixed_AC/BAG_complete.xml,13152998,AProVE21,33789,certified,551426,complete,160.752964896,148.922935009,9.606361088E9,YES,-,CERTIFIED,3.35,-,-,-,-,-,-
516331384,TRS_Equational/Mixed_AC/BAG_complete.xml,13152998,NaTT 1.6.1,29473,Certifiable,360199,complete,1.356822131,1.14265298843,5.1085312E7,MAYBE,-,-,-,-,-,-,-,-,-
516331385,TRS_Equational/Mixed_AC/RENAMED-BOOL_complete.xml,13152999,AProVE21,33789,certified,551426,complete,312.648384965,292.033429146,9.6181248E9,--,-,-,-,-,-,-,-,-,-
516331386,TRS_Equational/Mixed_AC/RENAMED-BOOL_complete.xml,13152999,NaTT 1.6.1,29473,Certifiable,360199,complete,0.844902418,0.707542896271,3.8207488E7,MAYBE,-,-,-,-,-,-,-,-,-
516331387,TRS_Equational/Mixed_AC_and_C/AC47.xml,13152971,AProVE21,33789,certified,551426,complete,10.208526968,3.67264986038,7.6498944E8,YES,-,CERTIFIED,0.33,-,-,-,-,-,-
516331388,TRS_Equational/Mixed_AC_and_C/AC47.xml,13152971,NaTT 1.6.1,29473,Certifiable,360199,complete,0.080037987,0.074893951416,7360512.0,YES,-,CERTIFIED,0.41,-,-,-,-,-,-
516331389,TRS_Equational/Mixed_AC_and_C/AC08.xml,13152972,AProVE21,33789,certified,551426,complete,9.251858793,3.32160806656,5.73046784E8,YES,-,CERTIFIED,0.45,-,-,-,-,-,-
516331390,TRS_Equational/Mixed_AC_and_C/AC08.xml,13152972,NaTT 1.6.1,29473,Certifiable,360199,complete,0.105871978,0.12127494812,9498624.0,YES,-,REJECTED,0.45,1: error below AC-dependency pair processor 1.1: error below the dependency graph processor 1.1.3: error when applying AC-reduct,-,-,-,-,-
516331391,TRS_Equational/Mixed_AC_and_C/rationals.xml,13152973,AProVE21,33789,certified,551426,complete,42.172795911,25.7990911007,1.846902784E9,--,-,-,-,-,-,-,-,-,-
516331392,TRS_Equational/Mixed_AC_and_C/rationals.xml,13152973,NaTT 1.6.1,29473,Certifiable,360199,complete,0.240265456,0.183513879776,2.0148224E7,MAYBE,-,-,-,-,-,-,-,-,-
