pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time
516304226,TRS_Standard/AProVE_07/wiehe09.xml,13153824,ttt2-1.20,29431,ttt2_cert,360056,complete,21.156307246,6.9455499649,9.61654784E8,YES,CERTIFIED,0.25
516304227,TRS_Standard/AProVE_07/wiehe09.xml,13153824,AProVE21,33789,certified,551426,complete,9.002348756,3.15340018272,5.93485824E8,YES,CERTIFIED,0.25
516304228,TRS_Standard/AProVE_07/wiehe09.xml,13153824,NaTT 1.6.1,29473,Certifiable,360199,complete,0.14516192,0.173651218414,9584640.0,YES,CERTIFIED,0.37
516304229,TRS_Standard/AProVE_07/kabasci04.xml,13153825,ttt2-1.20,29431,ttt2_cert,360056,complete,16.382945632,6.01266598701,6.22780416E8,YES,CERTIFIED,0.13
516304230,TRS_Standard/AProVE_07/kabasci04.xml,13153825,AProVE21,33789,certified,551426,complete,6.930653378,2.61121702194,4.92904448E8,YES,CERTIFIED,0.14
516304231,TRS_Standard/AProVE_07/kabasci04.xml,13153825,NaTT 1.6.1,29473,Certifiable,360199,complete,0.082403878,0.119095087051,8003584.0,YES,CERTIFIED,0.18
516304232,TRS_Standard/AProVE_07/otto09.xml,13153826,ttt2-1.20,29431,ttt2_cert,360056,complete,41.960701494,16.9775469303,6.22333952E8,MAYBE,-,-
516304233,TRS_Standard/AProVE_07/otto09.xml,13153826,AProVE21,33789,certified,551426,complete,11.006016415,4.35618114471,5.65895168E8,YES,CERTIFIED,0.34
516304234,TRS_Standard/AProVE_07/otto09.xml,13153826,NaTT 1.6.1,29473,Certifiable,360199,complete,0.273145646,0.281294822693,1.857536E7,MAYBE,-,-
516304235,TRS_Standard/AProVE_07/kabasci03.xml,13153827,ttt2-1.20,29431,ttt2_cert,360056,complete,22.388170993,7.41153097153,1.061670912E9,YES,CERTIFIED,0.18
516304236,TRS_Standard/AProVE_07/kabasci03.xml,13153827,AProVE21,33789,certified,551426,complete,9.536371203,3.26263213158,5.8673152E8,YES,CERTIFIED,0.14
516304237,TRS_Standard/AProVE_07/kabasci03.xml,13153827,NaTT 1.6.1,29473,Certifiable,360199,complete,0.900609194,0.703589916229,3.344384E7,YES,CERTIFIED,0.22
516304238,TRS_Standard/AProVE_07/thiemann13.xml,13153828,ttt2-1.20,29431,ttt2_cert,360056,complete,391.790764082,299.366573095,9.08242944E8,MAYBE,-,-
516304239,TRS_Standard/AProVE_07/thiemann13.xml,13153828,AProVE21,33789,certified,551426,complete,24.222283053,8.29543089867,1.2239872E9,YES,CERTIFIED,0.37
516304240,TRS_Standard/AProVE_07/thiemann13.xml,13153828,NaTT 1.6.1,29473,Certifiable,360199,complete,0.805304327,0.784647941589,2.4293376E7,MAYBE,-,-
516304241,TRS_Standard/AProVE_07/wiehe07.xml,13153829,ttt2-1.20,29431,ttt2_cert,360056,complete,69.648093113,28.131978035,1.031909376E9,MAYBE,-,-
516304242,TRS_Standard/AProVE_07/wiehe07.xml,13153829,AProVE21,33789,certified,551426,complete,817.998483551,299.867738008,1.6004702208E10,--,-,-
516304243,TRS_Standard/AProVE_07/wiehe07.xml,13153829,NaTT 1.6.1,29473,Certifiable,360199,complete,0.871762363,0.656594991684,3.3726464E7,MAYBE,-,-
516304244,TRS_Standard/AProVE_07/thiemann14.xml,13153830,ttt2-1.20,29431,ttt2_cert,360056,complete,13.335105413,4.37061691284,8.57264128E8,YES,CERTIFIED,0.23
