pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,certification-result,certification-time,certification-err
516330581,SRS_Relative/ICFP_2010_relative/135328.xml,13155876,ttt2-1.20,29431,ttt2_cert,360056,complete,893.034714336,301.02035284,6.64614912E9,MAYBE,-,-,-
516330582,SRS_Relative/ICFP_2010_relative/135328.xml,13155876,AProVE21,33789,certified,551426,timeout (wallclock),1180.60325898,301.043359995,1.645492224E10,--,-,-,-
516330583,SRS_Relative/ICFP_2010_relative/4991.xml,13155877,ttt2-1.20,29431,ttt2_cert,360056,complete,892.287891649,300.564738035,2.931621888E9,MAYBE,-,-,-
516330584,SRS_Relative/ICFP_2010_relative/4991.xml,13155877,AProVE21,33789,certified,551426,timeout (wallclock),1179.51186689,301.048576117,1.581338624E10,--,-,-,-
516330585,SRS_Relative/ICFP_2010_relative/139100.xml,13155878,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.768518251,301.011178017,2.076667904E9,MAYBE,-,-,-
516330586,SRS_Relative/ICFP_2010_relative/139100.xml,13155878,AProVE21,33789,certified,551426,complete,66.436145379,17.6991760731,3.753193472E9,YES,CERTIFIED,15.41,-
516330587,SRS_Relative/ICFP_2010_relative/88172.xml,13155879,ttt2-1.20,29431,ttt2_cert,360056,complete,892.277207627,300.570098162,2.790264832E9,MAYBE,-,-,-
516330588,SRS_Relative/ICFP_2010_relative/88172.xml,13155879,AProVE21,33789,certified,551426,timeout (wallclock),1163.23756421,301.054450035,1.7517682688E10,--,-,-,-
516330589,SRS_Relative/ICFP_2010_relative/3930.xml,13155880,ttt2-1.20,29431,ttt2_cert,360056,complete,892.292344756,300.537647009,2.268250112E9,MAYBE,-,-,-
516330590,SRS_Relative/ICFP_2010_relative/3930.xml,13155880,AProVE21,33789,certified,551426,timeout (wallclock),1179.4423036,301.047694921,1.5739994112E10,--,-,-,-
516330591,SRS_Relative/ICFP_2010_relative/132969.xml,13155881,ttt2-1.20,29431,ttt2_cert,360056,complete,892.904886183,301.010903835,4.65143808E9,MAYBE,-,-,-
516330592,SRS_Relative/ICFP_2010_relative/132969.xml,13155881,AProVE21,33789,certified,551426,timeout (wallclock),1170.63021046,301.009773016,1.6806944768E10,--,-,-,-
516330593,SRS_Relative/ICFP_2010_relative/138330.xml,13155882,ttt2-1.20,29431,ttt2_cert,360056,complete,892.639668787,301.024188042,6.505500672E9,MAYBE,-,-,-
516330594,SRS_Relative/ICFP_2010_relative/138330.xml,13155882,AProVE21,33789,certified,551426,timeout (wallclock),1164.80071186,301.028897047,1.6270184448E10,--,-,-,-
516330595,SRS_Relative/ICFP_2010_relative/132782.xml,13155883,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.92526332,301.045485973,2.210308096E9,MAYBE,-,-,-
516330596,SRS_Relative/ICFP_2010_relative/132782.xml,13155883,AProVE21,33789,certified,551426,complete,53.969097636,14.6403679848,3.338305536E9,YES,CERTIFIED,17.25,-
516330597,SRS_Relative/ICFP_2010_relative/139163.xml,13155884,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.923976047,301.057579041,3.392E9,MAYBE,-,-,-
516330598,SRS_Relative/ICFP_2010_relative/139163.xml,13155884,AProVE21,33789,certified,551426,complete,85.900561905,22.7947099209,4.265783296E9,YES,CERTIFIED,37.19,-
516330599,SRS_Relative/ICFP_2010_relative/140664.xml,13155885,ttt2-1.20,29431,ttt2_cert,360056,complete,892.603153219,300.903367996,2.07556608E9,MAYBE,-,-,-
516330600,SRS_Relative/ICFP_2010_relative/140664.xml,13155885,AProVE21,33789,certified,551426,complete,1160.30531759,295.483139992,1.834262528E10,--,-,-,-
516330601,SRS_Relative/ICFP_2010_relative/124211.xml,13155886,ttt2-1.20,29431,ttt2_cert,360056,complete,892.796142878,300.996038914,3.797753856E9,MAYBE,-,-,-
516330602,SRS_Relative/ICFP_2010_relative/124211.xml,13155886,AProVE21,33789,certified,551426,timeout (wallclock),1179.61064156,301.020843029,1.6583938048E10,--,-,-,-
516330603,SRS_Relative/ICFP_2010_relative/131633.xml,13155887,ttt2-1.20,29431,ttt2_cert,360056,complete,893.082935444,300.99178195,4.137050112E9,MAYBE,-,-,-
516330604,SRS_Relative/ICFP_2010_relative/131633.xml,13155887,AProVE21,33789,certified,551426,timeout (wallclock),1182.21534908,301.023788929,1.6816939008E10,--,-,-,-
516330605,SRS_Relative/ICFP_2010_relative/3842.xml,13155888,ttt2-1.20,29431,ttt2_cert,360056,complete,892.597796494,300.521116018,2.06268416E9,MAYBE,-,-,-
516330606,SRS_Relative/ICFP_2010_relative/3842.xml,13155888,AProVE21,33789,certified,551426,timeout (wallclock),1164.95661121,301.013859987,1.5810445312E10,--,-,-,-
516330607,SRS_Relative/ICFP_2010_relative/139180.xml,13155889,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),893.238221857,301.011488914,2.07986688E9,MAYBE,-,-,-
516330608,SRS_Relative/ICFP_2010_relative/139180.xml,13155889,AProVE21,33789,certified,551426,complete,129.735207808,33.7232449055,8.735973376E9,YES,CERTIFIED,28.52,-
516330609,SRS_Relative/ICFP_2010_relative/132478.xml,13155890,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.831108007,301.018117905,2.221748224E9,MAYBE,-,-,-
516330610,SRS_Relative/ICFP_2010_relative/132478.xml,13155890,AProVE21,33789,certified,551426,complete,80.107073532,21.1189479828,4.596473856E9,YES,CERTIFIED,18.77,-
516330611,SRS_Relative/ICFP_2010_relative/128182.xml,13155891,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.431160459,301.011940956,2.117787648E9,MAYBE,-,-,-
516330612,SRS_Relative/ICFP_2010_relative/128182.xml,13155891,AProVE21,33789,certified,551426,complete,58.29261098,15.5890331268,3.518541824E9,YES,CERTIFIED,12.76,-
516330613,SRS_Relative/ICFP_2010_relative/4964.xml,13155892,ttt2-1.20,29431,ttt2_cert,360056,complete,892.526157939,300.48593998,2.66285056E9,MAYBE,-,-,-
516330614,SRS_Relative/ICFP_2010_relative/4964.xml,13155892,AProVE21,33789,certified,551426,timeout (wallclock),1180.16718556,301.009321928,1.5822958592E10,--,-,-,-
516330615,SRS_Relative/ICFP_2010_relative/4840.xml,13155893,ttt2-1.20,29431,ttt2_cert,360056,complete,892.5415222,300.504899025,2.036822016E9,MAYBE,-,-,-
516330616,SRS_Relative/ICFP_2010_relative/4840.xml,13155893,AProVE21,33789,certified,551426,timeout (wallclock),1182.22345077,301.045530081,1.5858806784E10,--,-,-,-
516330617,SRS_Relative/ICFP_2010_relative/132920.xml,13155894,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),893.068471741,301.072028875,2.106212352E9,MAYBE,-,-,-
516330618,SRS_Relative/ICFP_2010_relative/132920.xml,13155894,AProVE21,33789,certified,551426,complete,68.624127128,18.3514680862,3.953938432E9,YES,CERTIFIED,12.78,-
516330619,SRS_Relative/ICFP_2010_relative/4847.xml,13155895,ttt2-1.20,29431,ttt2_cert,360056,complete,892.239259662,300.522876978,2.088873984E9,MAYBE,-,-,-
516330620,SRS_Relative/ICFP_2010_relative/4847.xml,13155895,AProVE21,33789,certified,551426,timeout (wallclock),1180.5149558,301.013684034,1.5848435712E10,--,-,-,-
516330621,SRS_Relative/ICFP_2010_relative/3729.xml,13155896,ttt2-1.20,29431,ttt2_cert,360056,complete,892.288217609,300.506554127,1.963163648E9,MAYBE,-,-,-
516330622,SRS_Relative/ICFP_2010_relative/3729.xml,13155896,AProVE21,33789,certified,551426,timeout (wallclock),1178.82708981,301.0090909,1.5951757312E10,--,-,-,-
516330623,SRS_Relative/ICFP_2010_relative/139310.xml,13155897,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),893.060586418,301.012504101,2.0824064E9,MAYBE,-,-,-
516330624,SRS_Relative/ICFP_2010_relative/139310.xml,13155897,AProVE21,33789,certified,551426,complete,58.766841799,15.8190369606,3.381538816E9,YES,CERTIFIED,13.90,-
516330625,SRS_Relative/ICFP_2010_relative/136051.xml,13155898,ttt2-1.20,29431,ttt2_cert,360056,complete,893.127576435,300.976899147,6.199341056E9,MAYBE,-,-,-
516330626,SRS_Relative/ICFP_2010_relative/136051.xml,13155898,AProVE21,33789,certified,551426,timeout (wallclock),1172.33512595,301.009396076,1.6781197312E10,--,-,-,-
516330627,SRS_Relative/ICFP_2010_relative/4141.xml,13155899,ttt2-1.20,29431,ttt2_cert,360056,complete,414.590797206,140.51105094,1.987661824E9,YES,UNSUPPORTED,0.23,expecting <, but found: Bounds.fprintfx: XML output no
516330628,SRS_Relative/ICFP_2010_relative/4141.xml,13155899,AProVE21,33789,certified,551426,timeout (wallclock),1177.44605953,301.019587994,1.592373248E10,--,-,-,-
516330629,SRS_Relative/ICFP_2010_relative/139036.xml,13155900,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.886209487,301.024605989,2.185883648E9,MAYBE,-,-,-
516330630,SRS_Relative/ICFP_2010_relative/139036.xml,13155900,AProVE21,33789,certified,551426,complete,68.504289976,18.3829989433,3.56108288E9,YES,CERTIFIED,21.02,-
516330631,SRS_Relative/ICFP_2010_relative/135604.xml,13155901,ttt2-1.20,29431,ttt2_cert,360056,complete,892.870112252,300.980452061,3.381071872E9,MAYBE,-,-,-
516330632,SRS_Relative/ICFP_2010_relative/135604.xml,13155901,AProVE21,33789,certified,551426,timeout (wallclock),1171.89078746,301.063544035,1.671563264E10,--,-,-,-
516330633,SRS_Relative/ICFP_2010_relative/140359.xml,13155902,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.843612243,301.048492193,2.639519744E9,MAYBE,-,-,-
516330634,SRS_Relative/ICFP_2010_relative/140359.xml,13155902,AProVE21,33789,certified,551426,complete,70.782886935,19.9218580723,3.828150272E9,YES,CERTIFIED,15.85,-
516330635,SRS_Relative/ICFP_2010_relative/54097.xml,13155903,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),884.65642273,301.054512978,2.20049408E9,--,-,-,-
516330636,SRS_Relative/ICFP_2010_relative/54097.xml,13155903,AProVE21,33789,certified,551426,timeout (wallclock),1175.23214943,301.009538174,1.61037312E10,--,-,-,-
516330637,SRS_Relative/ICFP_2010_relative/139167.xml,13155904,ttt2-1.20,29431,ttt2_cert,360056,timeout (wallclock),892.664588888,301.011806965,2.190708736E9,MAYBE,-,-,-
516330638,SRS_Relative/ICFP_2010_relative/139167.xml,13155904,AProVE21,33789,certified,551426,complete,96.990457334,26.6346819401,5.081280512E9,YES,CERTIFIED,21.04,-
516330639,SRS_Relative/ICFP_2010_relative/4017.xml,13155905,ttt2-1.20,29431,ttt2_cert,360056,complete,892.591269334,300.50265193,2.075734016E9,MAYBE,-,-,-
516330640,SRS_Relative/ICFP_2010_relative/4017.xml,13155905,AProVE21,33789,certified,551426,complete,1174.94577708,299.703123808,1.5950426112E10,--,-,-,-
516330641,SRS_Relative/ICFP_2010_relative/124269.xml,13155906,ttt2-1.20,29431,ttt2_cert,360056,complete,892.703816065,300.97823,6.194323456E9,MAYBE,-,-,-
516330642,SRS_Relative/ICFP_2010_relative/124269.xml,13155906,AProVE21,33789,certified,551426,complete,1169.30026296,298.560940027,1.6832892928E10,--,-,-,-
516330643,SRS_Relative/ICFP_2010_relative/4920.xml,13155907,ttt2-1.20,29431,ttt2_cert,360056,complete,892.288749131,300.495635033,1.91516672E9,MAYBE,-,-,-
516330644,SRS_Relative/ICFP_2010_relative/4920.xml,13155907,AProVE21,33789,certified,551426,timeout (wallclock),1162.25378443,301.019885063,1.5843766272E10,--,-,-,-
516330645,SRS_Relative/ICFP_2010_relative/136562.xml,13155908,ttt2-1.20,29431,ttt2_cert,360056,complete,893.111770629,300.987526894,6.765633536E9,MAYBE,-,-,-
516330646,SRS_Relative/ICFP_2010_relative/136562.xml,13155908,AProVE21,33789,certified,551426,timeout (wallclock),1167.33944043,301.011181116,1.680531456E10,--,-,-,-
516330647,SRS_Relative/ICFP_2010_relative/4106.xml,13155909,ttt2-1.20,29431,ttt2_cert,360056,complete,892.359678167,300.523871899,1.939800064E9,MAYBE,-,-,-
516330648,SRS_Relative/ICFP_2010_relative/4106.xml,13155909,AProVE21,33789,certified,551426,timeout (wallclock),1156.01019277,301.036801815,1.57257728E10,--,-,-,-
516330649,SRS_Relative/ICFP_2010_relative/4057.xml,13155910,ttt2-1.20,29431,ttt2_cert,360056,complete,892.153804089,300.486473083,2.037583872E9,MAYBE,-,-,-
